"","nk","mal"
"1","KIR2DL1","HLA-C"
"2","KIR2DL3","GAST"
"3","KIR2DL3","HLA-C"
"4","KIR2DL3","FAM3C"
"5","KIR2DL3","CXCL9"
"6","KIR2DL3","BMP10"
"7","KIR3DL1","HLA-A"
"8","KIR3DL1","HLA-F"
"9","KIR3DL1","BMP10"
"10","LILRB1","HLA-F"
"11","LILRB1","HLA-G"
"12","LILRB1","INS"
"13","KLRC1","HLA-E"
"14","LAG3","FGL1"
"15","HAVCR2","LGALS9"
"16","TIGIT","PVR"
"17","TIGIT","NECTIN3"
"18","TIGIT","NECTIN2"
"19","CD96","PVR"
"20","CD96","NECTIN1"
"21","KLRG1","CDH1"
"22","LAIR1","LILRB4"
"23","CEACAM1","SELE"
"24","CEACAM1","CD209"
"25","CEACAM1","CEACAM6"
"26","CEACAM1","CEACAM8"
"27","CEACAM1","CEACAM5"
"28","KLRB1","CLEC2D"
