cell_line,percentage,treatment,group,fc
SCR,5.82,PBS,NK,1
NCI,13.6,PBS,NK,1
H28,16.9,PBS,NK,1
211,17.5,PBS,NK,1
SCR,13.5,PBS,NK_NKG2a,2.319587629
NCI,18.1,PBS,NK_NKG2a,1.330882353
H28,26.6,PBS,NK_NKG2a,1.573964497
211,29.2,PBS,NK_NKG2a,1.668571429
SCR,6.31,PBS,NK_PD1,1.08419244
NCI,13.7,PBS,NK_PD1,1.007352941
H28,17.9,PBS,NK_PD1,1.059171598
211,17.9,PBS,NK_PD1,1.022857143
SCR,11.5,PBS,NK_PD1_NKG2a,1.975945017
NCI,22.6,PBS,NK_PD1_NKG2a,1.661764706
H28,25.2,PBS,NK_PD1_NKG2a,1.49112426
211,27.1,PBS,NK_PD1_NKG2a,1.548571429
SCR,8.43,PBS,NK_MHC1,1.448453608
NCI,19.8,PBS,NK_MHC1,1.455882353
H28,23.8,PBS,NK_MHC1,1.408284024
211,29.3,PBS,NK_MHC1,1.674285714
SCR,12,PBS,NK_NKG2a_MHC1,2.06185567
NCI,30,PBS,NK_NKG2a_MHC1,2.205882353
H28,31.5,PBS,NK_NKG2a_MHC1,1.863905325
211,37.2,PBS,NK_NKG2a_MHC1,2.125714286
SCR,6.03,PBS,NK_PD1_MHC1,1.036082474
NCI,22.9,PBS,NK_PD1_MHC1,1.683823529
H28,25,PBS,NK_PD1_MHC1,1.479289941
211,30.1,PBS,NK_PD1_MHC1,1.72
SCR,13,PBS,NK_PD1_NKG2a_MHC1,2.233676976
NCI,27.4,PBS,NK_PD1_NKG2a_MHC1,2.014705882
H28,32.3,PBS,NK_PD1_NKG2a_MHC1,1.911242604
211,40.4,PBS,NK_PD1_NKG2a_MHC1,2.308571429
SCR,4.75,rIFNg,NK,0.816151203
NCI,6.21,rIFNg,NK,0.456617647
H28,12.4,rIFNg,NK,0.733727811
211,9.55,rIFNg,NK,0.545714286
SCR,9.15,rIFNg,NK_NKG2a,1.572164948
NCI,13.4,rIFNg,NK_NKG2a,0.985294118
H28,24.1,rIFNg,NK_NKG2a,1.426035503
211,23.5,rIFNg,NK_NKG2a,1.342857143
SCR,4.81,rIFNg,NK_PD1,0.826460481
NCI,6.65,rIFNg,NK_PD1,0.488970588
H28,12.1,rIFNg,NK_PD1,0.715976331
211,9.39,rIFNg,NK_PD1,0.536571429
SCR,9.25,rIFNg,NK_PD1_NKG2a,1.589347079
NCI,13.1,rIFNg,NK_PD1_NKG2a,0.963235294
H28,21.4,rIFNg,NK_PD1_NKG2a,1.266272189
211,22.6,rIFNg,NK_PD1_NKG2a,1.291428571
SCR,4.57,rIFNg,NK_MHC1,0.785223368
NCI,7.62,rIFNg,NK_MHC1,0.560294118
H28,15.9,rIFNg,NK_MHC1,0.940828402
211,21.9,rIFNg,NK_MHC1,1.251428571
SCR,9.75,rIFNg,NK_NKG2a_MHC1,1.675257732
NCI,17.5,rIFNg,NK_NKG2a_MHC1,1.286764706
H28,30.1,rIFNg,NK_NKG2a_MHC1,1.781065089
211,35.5,rIFNg,NK_NKG2a_MHC1,2.028571429
SCR,3.9,rIFNg,NK_PD1_MHC1,0.670103093
NCI,9.58,rIFNg,NK_PD1_MHC1,0.704411765
H28,21.5,rIFNg,NK_PD1_MHC1,1.272189349
211,25,rIFNg,NK_PD1_MHC1,1.428571429
SCR,8.31,rIFNg,NK_PD1_NKG2a_MHC1,1.427835052
NCI,16.9,rIFNg,NK_PD1_NKG2a_MHC1,1.242647059
H28,30.6,rIFNg,NK_PD1_NKG2a_MHC1,1.810650888
211,45,rIFNg,NK_PD1_NKG2a_MHC1,2.571428571
