cell_line,percentage,treatment,group
SCR,1.41,PBS,NK
NCI,13.7,PBS,NK
211,4.88,PBS,NK
H28,4.1,PBS,NK
SCR,4.11,PBS,NK_NKG2a
NCI,19.2,PBS,NK_NKG2a
211,9.11,PBS,NK_NKG2a
H28,7.53,PBS,NK_NKG2a
SCR,1.7,PBS,NK_PD1
NCI,17.1,PBS,NK_PD1
211,5.32,PBS,NK_PD1
H28,3.9,PBS,NK_PD1
SCR,1.79,PBS,NK_PD1_NKG2a
NCI,21.6,PBS,NK_PD1_NKG2a
211,8.25,PBS,NK_PD1_NKG2a
H28,6.32,PBS,NK_PD1_NKG2a
SCR,0.89,PBS,NK_MHC1
NCI,20.7,PBS,NK_MHC1
211,8.78,PBS,NK_MHC1
H28,5.73,PBS,NK_MHC1
SCR,3.51,PBS,NK_NKG2a_MHC1
NCI,26.9,PBS,NK_NKG2a_MHC1
211,11.4,PBS,NK_NKG2a_MHC1
H28,8.03,PBS,NK_NKG2a_MHC1
SCR,0.81,PBS,NK_PD1_MHC1
NCI,21.9,PBS,NK_PD1_MHC1
211,8.72,PBS,NK_PD1_MHC1
H28,4.72,PBS,NK_PD1_MHC1
SCR,2.83,PBS,NK_PD1_NKG2a_MHC1
NCI,21.8,PBS,NK_PD1_NKG2a_MHC1
211,11.2,PBS,NK_PD1_NKG2a_MHC1
H28,7.04,PBS,NK_PD1_NKG2a_MHC1
SCR,2.51,rIFNg,NK
NCI,7.18,rIFNg,NK
211,3.09,rIFNg,NK
H28,3.33,rIFNg,NK
SCR,2.78,rIFNg,NK_NKG2a
NCI,11.7,rIFNg,NK_NKG2a
211,6.83,rIFNg,NK_NKG2a
H28,8.13,rIFNg,NK_NKG2a
SCR,1.68,rIFNg,NK_PD1
NCI,6.03,rIFNg,NK_PD1
211,2.88,rIFNg,NK_PD1
H28,2.88,rIFNg,NK_PD1
SCR,2.88,rIFNg,NK_PD1_NKG2a
NCI,11.4,rIFNg,NK_PD1_NKG2a
211,6.23,rIFNg,NK_PD1_NKG2a
H28,7.03,rIFNg,NK_PD1_NKG2a
SCR,2.28,rIFNg,NK_MHC1
NCI,8.69,rIFNg,NK_MHC1
211,4.09,rIFNg,NK_MHC1
H28,4.57,rIFNg,NK_MHC1
SCR,3.46,rIFNg,NK_NKG2a_MHC1
NCI,16.5,rIFNg,NK_NKG2a_MHC1
211,9.33,rIFNg,NK_NKG2a_MHC1
H28,10.3,rIFNg,NK_NKG2a_MHC1
SCR,1.91,rIFNg,NK_PD1_MHC1
NCI,8.63,rIFNg,NK_PD1_MHC1
211,3.68,rIFNg,NK_PD1_MHC1
H28,3.87,rIFNg,NK_PD1_MHC1
SCR,2.83,rIFNg,NK_PD1_NKG2a_MHC1
NCI,13.5,rIFNg,NK_PD1_NKG2a_MHC1
211,5.84,rIFNg,NK_PD1_NKG2a_MHC1
H28,25.2,rIFNg,NK_PD1_NKG2a_MHC1
